"",46.800
699.0000,-1.4543E+001
700.0000,-5.5288E+001
701.0000,-1.8915E+001
702.0000,-1.2787E+001
703.0000,-4.2259E+001
704.0000,-1.1386E+001
705.0000,-7.1122E+000
706.0000,-9.4171E+001
707.0000,-1.9862E+001
708.0000,-9.3407E+001
709.0000,-9.9652E+001
710.0000,-2.8290E+001
711.0000,-2.0162E+001
712.0000,1.1785E+001
713.0000,-3.5285E+001
714.0000,-1.6951E+001
715.0000,4.9964E+001
716.0000,2.9580E+001
717.0000,-4.4109E+001
718.0000,-3.7028E+001
719.0000,4.0481E+000
720.0000,3.5308E+001
721.0000,2.7253E+001
722.0000,-5.5741E+001
723.0000,-2.8705E+001
724.0000,-1.3170E+001
725.0000,-1.1705E+001
726.0000,-3.1283E+001
727.0000,-3.0482E+001
728.0000,-5.0959E+000
729.0000,2.1512E-001
730.0000,2.8686E+001
